Price,Period,Description,Location
"₦ 3,000,000",per annum,"3bdrm Apartment in Ikota, Lagos State for rent",
"₦ 7,000,000",per annum,"4bdrm Duplex in Lekki Conservation, Lagos State for rent",
"₦ 18,000,000",per annum,"4bdrm Duplex in Pinnock Beach Estate, Osapa london for rent","Lekki, Osapa london"
"₦ 5,000,000",per annum,2bdrm Block of Flats in Ologolo for rent,"Lekki, Ologolo"
"₦ 6,500,000",per annum,3bdrm Duplex in Harris Drive Between for rent,"Ajah, VGC / Ajah"
"₦ 400,000",per month,Furnished Studio Apartment in Ikota for rent,"Lekki, Ikota"
"₦ 300,000",per annum,Studio Apartment in Alimosho for rent,Alimosho
"₦ 800,000",per annum,Mini Flat in Itire for rent,"Surulere, Itire"
"₦ 1,400,000",per annum,"Mini Flat in Opposite Sangotedo, Ajah for rent",Ajah
"₦ 5,000,000",per annum,"1bdrm Room & Parlour in Salem Ikate, Lekki for rent",Lekki
"₦ 7,500,000",per annum,2bdrm Apartment in Ikate Lagos for rent,"Lekki, Ikate"
"₦ 4,000,000",,"8bdrm Block of Flats in Paradise Estate, Ibeju for Rent",Ibeju
"₦ 5,000,000",per annum,3bdrm Block of Flats in Lekki Scheme2 Ajah for rent,Ajah
"₦ 3,700,000",per annum,"3bdrm Villa in Ikota Villa Estate, Lekki for rent",Lekki
"₦ 2,500,000",per annum,Furnished 1bdrm Apartment in Ologolo Lekki for rent,Lekki
"₦ 4,000,000",per annum,"2bdrm Apartment in Chevron Alternative, Lekki for rent",Lekki
"₦ 2,500,000",per annum,"Mini Flat in Ikota Estate, Lekki for rent",Lekki
"₦ 850,000",per annum,"Studio Apartment in Shangotedo Close To, Ajah for rent",Ajah
"₦ 2,000,000",per annum,Furnished Studio Apartment in Ologolo Lekki for rent,Lekki
"₦ 1,500,000",per annum,"Studio Apartment in Ikota First Gate, Lekki for rent",Lekki
"₦ 2,500,000",per annum,"2bdrm Apartment in Ologolo Mayegun, Lekki for rent",Lekki
"₦ 3,500,000",per annum,"2bdrm Block of Flats in Orchid Hotel Road, Lekki for rent",Lekki
"₦ 7,000,000",per annum,"3bdrm Duplex in Ajah, Lagos State for rent",
"₦ 35,000,000",per annum,"3bdrm Penthouse in Bourdillon, Lagos State for rent",
"₦ 2,500,000",per annum,"1bdrm Shared Apartment in Chevron Alternative, Lekki for rent",Lekki
"₦ 10,000,000",per annum,2bdrm Apartment in Lekki Phase 1 for rent,Lekki
"₦ 14,000,000",per annum,4bdrm Duplex in Lekki Conservation for rent,Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Orchid, Lagos State for rent",
"₦ 6,000,000",per annum,3bdrm Apartment in Oral Estate Lekki for rent,Lekki
"₦ 7,000,000",per annum,"4bdrm Townhouse / Terrace in Ikota Villa Estate, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"Furnished 2bdrm Apartment in Ikate, Lekki for rent",Lekki
"₦ 9,000,000",per annum,"Furnished 1bdrm Penthouse in Ikate, Lekki for rent",Lekki
"₦ 35,000,000",per annum,"Furnished 3bdrm Apartment in Ikoyi, Lekki for rent",Lekki
"₦ 50,000,000",per annum,"Furnished 3bdrm Bedsitter in Banana Island, Lekki for rent",Lekki
"₦ 25,000,000",per annum,Furnished 4bdrm Townhouse / Terrace in Lekki Phase 1 for rent,Lekki
"₦ 12,000,000",per annum,"Furnished 2bdrm Apartment in Ikate, Lekki for rent",Lekki
"₦ 13,500,000",per annum,2bdrm Apartment in Lekki Phase1 for rent,Lekki
"₦ 9,000,000",per annum,"4bdrm Duplex in Ologolo, Lekki for rent",Lekki
"₦ 20,000,000",per annum,"5bdrm Duplex in Ikate, Lekki for rent",Lekki
"₦ 15,000,000",per annum,"3bdrm Apartment in Old Ikoyi, Lekki for rent",Lekki
"₦ 6,500,000",per annum,4bdrm Duplex in Lekki Conservation for rent,Lekki
"₦ 5,000,000",per annum,"2bdrm Apartment in Orchid, Lagos State for rent",
"₦ 12,000,000",per annum,2bdrm Apartment in Lekki Phase 1 for rent,Lekki
"₦ 15,000,000",per annum,Furnished 2bdrm Apartment in Lekki Phase1 for rent,Lekki
"₦ 13,000,000",per annum,"Furnished 2bdrm Townhouse / Terrace in Salem Ikate, Lekki for rent",Lekki
"₦ 8,000,000",per annum,1bdrm Room & Parlour in Lekki Phase 1 for rent,Lekki
"₦ 10,000,000",per annum,"2bdrm Apartment in Ikate, Lekki for rent",Lekki
"₦ 8,000,000",per annum,"4bdrm Duplex in Ikota, Lekki for rent",Lekki
"₦ 8,000,000",per annum,"Furnished 2bdrm Apartment in Osapa London, Lekki for rent",Lekki
"₦ 23,000,000",per annum,"3bdrm Apartment in Eko Atlantic, Lekki for rent",Lekki
"₦ 15,000,000",per annum,"3bdrm Apartment in Victoria Island, Lekki for rent",Lekki
"₦ 8,000,000",per annum,Furnished 1bdrm Room & Parlour in Ologolo Lekki for rent,Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Orchid Road, Lekki for rent",Lekki
"₦ 8,500,000",per annum,1bdrm Room & Parlour in Lekki Phase 1 for rent,Lekki
"₦ 13,000,000",per annum,"Furnished 3bdrm Apartment in Ikate, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"Furnished 2bdrm Apartment in Ikate, Lekki for rent",Lekki
"₦ 10,000,000",per annum,3bdrm Townhouse / Terrace in Ikate Lekki for rent,Lekki
"₦ 11,000,000",per annum,2bdrm Duplex in Lekki Phase 1 for rent,Lekki
"₦ 12,000,000",per annum,Furnished 2bdrm Apartment in Ikate Lekki for rent,Lekki
"₦ 8,000,000",per annum,"Furnished Studio Apartment in Admiraty Way, Lekki for rent",Lekki
"₦ 15,000,000",per annum,"Furnished 2bdrm Penthouse in Ikate, Lekki for rent",Lekki
"₦ 12,000,000",per annum,3bdrm Apartment in Lekki Phase 1 for rent,Lekki
"₦ 7,500,000",per annum,"4bdrm Duplex in Ajah, Lagos State for rent",
"₦ 15,000,000",per annum,5bdrm Duplex in Lekki Palm City for rent,Lekki
"₦ 25,000,000",per annum,"3bdrm Apartment in Victoria Island, Lekki for rent",Lekki
"₦ 5,000,000",per annum,"2bdrm Apartment in Orchid, Lekki for rent",Lekki
"₦ 12,000,000",per annum,"5bdrm Duplex in Osapa London, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Orchid, Lekki for rent",Lekki
"₦ 8,000,000",per annum,4bdrm Duplex in Orchid Lekki for rent,Lekki
"₦ 7,000,000",per annum,"Furnished Mini Flat in Ikate, Lekki for rent",Lekki
"₦ 9,000,000",per annum,"4bdrm Duplex in Ikota Gra, Lekki for rent",Lekki
"₦ 7,000,000",per annum,"Furnished 3bdrm Duplex in Vgc, Lekki for rent",Lekki
"₦ 16,000,000",per annum,Furnished 4bdrm Duplex in Ikate Lekki for rent,Lekki
"₦ 13,000,000",per annum,Furnished 4bdrm Duplex in Osapa London Lekki for rent,Lekki
"₦ 80,000,000",per annum,5bdrm Duplex in Ikoyi Lekki for rent,Lekki
"₦ 9,000,000",per annum,"4bdrm Duplex in Harries Drive, Lekki for rent",Lekki
"₦ 10,000,000",per annum,4bdrm Duplex in Ologolo Lekki for rent,Lekki
"₦ 15,000,000",per annum,"4bdrm Duplex in Chevron, Lekki for rent",Lekki
"₦ 9,000,000",per annum,4bdrm Duplex in Lekki Conservation for rent,Lekki
"₦ 8,500,000",per annum,3bdrm Apartment in Ologolo for rent,"Lekki, Ologolo"
"₦ 10,000,000",per annum,"2bdrm Apartment in Oniru, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Orchid Road, Lekki for rent",Lekki
"₦ 16,000,000",per annum,Furnished 2bdrm Apartment in Freedom Way Lekki for rent,Lekki
"₦ 12,000,000",per annum,Furnished 2bdrm Apartment in Freedom Way Lekki for rent,Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Orchid, Lekki for rent",Lekki
"₦ 15,000,000",per annum,Furnished 2bdrm Apartment in Freedom Way Lekki for rent,Lekki
"₦ 2,000,000",per annum,"Furnished 2bdrm Block of Flats in Crown Estate, Berger for rent","Ojodu, Berger"
"₦ 1,500,000",per annum,Furnished Mini Flat in Ojodu for rent,Ojodu
"₦ 850,000",per month,"Furnished Studio Apartment in Trasit Village, Victoria Island for rent",Victoria Island
"₦ 15,000,000",per annum,4bdrm Duplex in Femi Okunu Estate for rent,
"₦ 8,000,000",per annum,4bdrm Duplex in Oral Estate for rent,
"₦ 2,800,000",per annum,Studio Apartment in Ikota Villa for rent,"Lekki, Ikota"
"₦ 8,000,000",per annum,4bdrm Townhouse / Terrace in Ikota for rent,"Lekki, Ikota"
"₦ 12,000,000",per annum,4bdrm Duplex in Vgc for rent,"Ajah, VGC / Ajah"
"₦ 25,000,000",per annum,3bdrm Apartment in Old Ikoyi for rent,"Ikoyi, Old Ikoyi"
"₦ 15,000,000",per annum,4bdrm Duplex in Ikate-Elegushi for rent,"Lekki, Ikate-Elegushi"
"₦ 14,000,000",per annum,4bdrm Duplex in VGC / Ajah for rent,"Ajah, VGC / Ajah"
"₦ 7,000,000",per annum,"2bdrm Apartment in Illasan, Lekki for rent",Lekki
"₦ 5,000,000",per annum,3bdrm Townhouse / Terrace in Ogombo for rent,"Ajah, Ogombo"
"₦ 8,000,000",per annum,4bdrm Duplex in Ajah for rent,Ajah
"₦ 8,000,000",per annum,"4bdrm Duplex in Chevron, Lekki for rent",Lekki
"₦ 15,000",,The House My Father Built,Ilupeju
"₦ 60,000,000",per annum,5bdrm Duplex in Ikoyi for rent,Ikoyi
"₦ 60,000,000",per annum,4bdrm Townhouse / Terrace in Ikoyi for rent,Ikoyi
"₦ 700,000",per annum,"3bdrm Block of Flats in Otun-Akute, Yakoyo/Alagbole for rent","Ojodu, Yakoyo/Alagbole"
"₦ 10,000,000",per annum,"4bdrm Duplex in Orchid Road, Lekki Expressway for rent","Lekki, Lekki Expressway"
"₦ 14,000,000",per annum,4bdrm Duplex in Vgc for rent,"Ajah, VGC / Ajah"
"₦ 30,000,000",per annum,4bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 1,300,000",per annum,Mini Flat in Ikota for rent,"Lekki, Ikota"
"₦ 800,000",per annum,Mini Flat in Berger for rent,"Ojodu, Berger"
"₦ 2,900,000",per annum,2bdrm Block of Flats in Sangotedo for rent,"Ajah, Sangotedo"
"₦ 4,000,000",per annum,2bdrm Apartment in Peninsula Estate for rent,"Ajah, Peninsula Estate"
"₦ 1,500,000",per annum,"Furnished Mini Flat in Gra Phase 2 Estate, Gbagada for rent",Gbagada
"₦ 18,000,000",per annum,Furnished 3bdrm Duplex in Adeniyi Jones for rent,"Ikeja, Adeniyi Jones"
"₦ 50,000,000",,4-Bedroom House With Study and Bq,Ikoyi
"₦ 2,200,000",per annum,"1bdrm Shared Apartment in Conservation Court, Chevron for rent","Lekki, Chevron"
"₦ 15,000,000",per annum,"4bdrm Duplex in Ikeja, Opebi for rent","Ikeja, Opebi"
"₦ 8,000,000",per annum,Furnished 3bdrm Townhouse / Terrace in Ajah for rent,Ajah
"₦ 12,000,000",per annum,4bdrm Townhouse / Terrace in Adeniyi Jones for rent,"Ikeja, Adeniyi Jones"
"₦ 2,500,000",per annum,"1bdrm Shared Apartment in Chevyview, Chevron for rent","Lekki, Chevron"
"₦ 2,000,000",per annum,Mini Flat in Oke-Ira / Ogba for rent,"Ogba, Oke-Ira / Ogba"
"₦ 15,000,000",per annum,Furnished 4bdrm Duplex in Lekki for rent,Lekki
"₦ 12,000,000",per annum,Furnished 4bdrm Duplex in Abraham Adesanya Estate for rent,"Ajah, Abraham Adesanya Estate"
"₦ 2,500,000",per annum,Mini Flat in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 8,000,000",per annum,4bdrm Duplex in Ologolo for rent,"Lekki, Ologolo"
"₦ 4,000,000",per annum,2bdrm Apartment in Peninsula Estate for rent,"Ajah, Peninsula Estate"
"₦ 20,000,000",per annum,Furnished 4bdrm Block of Flats in Victoria Island for rent,Victoria Island
"₦ 7,000,000",per annum,4bdrm Duplex in Ikota for rent,"Lekki, Ikota"
"₦ 15,000,000",per annum,Furnished 4bdrm Duplex in Magodo Gra Shangisha for rent,"Magodo, GRA Phase 2 Shangisha"
"₦ 8,000,000",per annum,Furnished 2bdrm Block of Flats in Ikate for rent,"Lekki, Ikate"
"₦ 15,000,000",per annum,Furnished 2bdrm Maisonette in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 120,000,000",per annum,5bdrm Duplex in Ikoyi Banana Island for rent,Ikoyi
"₦ 100,000,000",per annum,6bdrm Duplex in Banana Island Ikoyi for rent,"Ikoyi, Banana Island"
"₦ 1,700,000",per annum,"1bdrm Shared Apartment in Ocean Bay Ocean, Lekki for rent",Lekki
"₦ 6,500,000",per annum,4bdrm Duplex in Orchid Lekki Lagos for rent,Lekki
"₦ 90,000,000",per annum,4bdrm Apartment in Old Ikoyi Lagos for rent,Ikoyi
"₦ 8,000,000",per annum,"Furnished 2bdrm Apartment in Horizon 2, Ikate for rent","Lekki, Ikate"
"₦ 10,000,000",per annum,"Furnished 4bdrm Townhouse / Terrace in Royal Pine, Gate 3,, Lekki",Lekki
"₦ 140,000,000",per annum,3bdrm Apartment in Ikoyi Lagos for rent,"Ikoyi, Ikoyi S.W"
"₦ 9,000,000",per annum,2bdrm Apartment in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 6,000,000",per annum,Furnished Studio Apartment in Ologolo for rent,"Lekki, Ologolo"
"₦ 15,000,000",per annum,3bdrm Apartment in Victoria Island Extension for rent,"Victoria Island, Victoria Island Extension"
"₦ 6,500,000",per annum,4bdrm Townhouse / Terrace in Ikota for rent,"Lekki, Ikota"
"₦ 12,000,000",per annum,4bdrm Duplex in Lekki Phase 2 for rent,"Lekki, Lekki Phase 2"
"₦ 8,000,000",per annum,4bdrm Duplex in Ologolo for rent,"Lekki, Ologolo"
"₦ 6,500,000",per annum,Furnished Mini Flat in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 10,000,000",per annum,"3bdrm Townhouse / Terrace in Spring Bay Estate,, Ikate for rent","Lekki, Ikate"
"₦ 2,000,000",per annum,"1bdrm Shared Apartment in Ocean Bay Estate., Lekki for rent",Lekki
"₦ 9,000,000",per annum,"2bdrm Block of Flats in Tunde Joda, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 15,000,000",per annum,5bdrm Duplex in Chevron for rent,"Lekki, Chevron"
"₦ 35,000,000",per annum,"3bdrm Apartment in Oroke Drive, Ikoyi for rent",Ikoyi
"₦ 15,000,000",per annum,3bdrm Apartment in Victoria Island Extension for rent,"Victoria Island, Victoria Island Extension"
"₦ 2,500,000",per annum,"Furnished 1bdrm Apartment in Royal Pine Gate 3,, Lekki Phase 2 for rent","Lekki, Lekki Phase 2"
"₦ 35,000,000",per annum,4bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 324,000,000",per annum,5bdrm Duplex in Banana Island Ikoyi for rent,"Ikoyi, Banana Island"
"₦ 12,000,000",per annum,5bdrm Duplex in Ologolo Lekki Lagos for rent,"Lekki, Ologolo"
"₦ 15,000,000",per annum,4bdrm Townhouse / Terrace in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 8,500,000",per annum,5bdrm Duplex in Lekki for rent,Lekki
"₦ 25,000,000",per annum,3bdrm Apartment in Banana Island for rent,"Ikoyi, Banana Island"
"₦ 9,000,000",per annum,4bdrm Duplex in Ikota for rent,"Lekki, Ikota"
"₦ 40,000,000",per annum,"5bdrm Duplex in Ogbunike Street, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 13,000,000",per annum,4bdrm Duplex in Jakande Lagos for rent,"Lekki, Jakande"
"₦ 16,000,000",per annum,4bdrm Townhouse / Terrace in Ikate for rent,"Lekki, Ikate"
"₦ 14,000,000",per annum,3bdrm Apartment in Lekki Phase 1 Lagos for rent,"Lekki, Lekki Phase 1"
"₦ 100,000,000",,"16bdrm Block of Flats in Nobex, Alimosho for sale",Alimosho
"₦ 26,000,000",per annum,Furnished 3bdrm Apartment in Old Ikoyi for rent,"Ikoyi, Old Ikoyi"
"₦ 18,000,000",per annum,"Furnished 4bdrm Duplex in Gbangbala Street, Ikate for rent","Lekki, Ikate"
"₦ 2,500,000",per annum,1bdrm Shared Apartment in Ologolo for rent,"Lekki, Ologolo"
"₦ 7,000,000",per annum,4bdrm Duplex in Orchid Lekki Lagos for rent,Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Oral Estate., Lekki for rent",Lekki
"₦ 25,000,000",per annum,Furnished 4bdrm Duplex in Ikate Lekki Lagos for rent,"Lekki, Ikate"
"₦ 20,000,000",per annum,4bdrm Duplex in Osborne Foreshore Estate for rent,"Ikoyi, Osborne Foreshore Estate"
"₦ 35,000,000",per annum,6bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 3,000,000",per annum,1bdrm Shared Apartment in Ologolo for rent,"Lekki, Ologolo"
"₦ 35,000,000",per annum,Furnished 3bdrm Apartment in Old Ikoyi for rent,"Ikoyi, Old Ikoyi"
"₦ 35,000,000",per annum,"4bdrm Penthouse in Mobolaji Johnson, Old Ikoyi for rent","Ikoyi, Old Ikoyi"
"₦ 8,000,000",per annum,3bdrm Duplex in Ikota Gra Lekki for rent,"Lekki, Ikota"
"₦ 30,000,000",per annum,Furnished 3bdrm Apartment in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 3,500,000",per annum,1bdrm Apartment in Lekki for rent,Lekki
