Price,Period,Description,Location
"₦ 28,000,000",per annum,4bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 12,000,000",per annum,Furnished 2bdrm Apartment in Ikate Lekki Lagos for rent,"Lekki, Ikate"
"₦ 8,000,000",per annum,4bdrm Duplex in Lekki Lagos for rent,Lekki
"₦ 8,000,000",per annum,4bdrm Duplex in Ikota Gra Lekki for rent,"Lekki, Ikota"
"₦ 20,000,000",per annum,Furnished 4bdrm Apartment in Victoria Island Extension for rent,"Victoria Island, Victoria Island Extension"
"₦ 2,200,000",per annum,"1bdrm Shared Apartment in Ocean Bay Estate., Lekki for rent",Lekki
"₦ 30,000,000",per annum,4bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 8,000,000",per annum,Furnished 4bdrm Duplex in Lekki for rent,Lekki
"₦ 300,000,000",,Furnished 2bdrm Block of Flats in Agility Estate Mile for sale,"Kosofe, Mile 12"
"₦ 40,000,000",per annum,3bdrm Maisonette in Ikoyi for rent,Ikoyi
"₦ 35,000,000",per annum,4bdrm Apartment in Ikoyi for rent,Ikoyi
"₦ 7,500,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate-Elegushi"
"₦ 5,500,000",per annum,"4bdrm Apartment in Chevron, Lekki for rent",Lekki
"₦ 14,000,000",per annum,"3bdrm Apartment in Off Admiralty, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 6,000,000",per annum,3bdrm Duplex in Osapa London for rent,"Lekki, Osapa london"
"₦ 1,800,000",per annum,Studio Apartment in Orchild Road Chevron for rent,"Lekki, Chevron"
"₦ 2,500,000",per annum,"4bdrm Apartment in Unity Estate, Ado / Ajah for rent","Ajah, Ado / Ajah"
"₦ 1,500,000",per annum,"Studio Apartment in Paradise Estate, Ikota for rent","Lekki, Ikota"
"₦ 10,000,000",per annum,"Furnished 4bdrm Duplex in Orchild Road, Chevron for rent","Lekki, Chevron"
"₦ 8,500,000",per annum,4bdrm Duplex in Chevron Estate for rent,"Lekki, Chevron"
"₦ 12,000,000",per annum,"Furnished 2bdrm Duplex in Salem, Ikate for rent","Lekki, Ikate"
"₦ 7,500,000",per annum,4bdrm Duplex in Ologolo for rent,"Lekki, Ologolo"
"₦ 42,000,000",per annum,3bdrm Apartment in Ologolo for rent,"Lekki, Ologolo"
"₦ 14,000,000",per annum,3bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 2,200,000",per annum,"2bdrm Apartment in Greenville, Badore for rent","Ibeju, Badore"
"₦ 15,000,000",per annum,4bdrm Duplex in Lekki for rent,Lekki
"₦ 2,800,000",per annum,"Studio Apartment in Blue Scourt, Ikota for rent","Lekki, Ikota"
"₦ 3,000,000",per annum,Mini Flat in Chevron for rent,"Lekki, Chevron"
"₦ 4,000,000",per annum,"1bdrm Apartment in Harris Drive, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"4bdrm Duplex in Royal Pine, Chevron for rent","Lekki, Chevron"
"₦ 30,000,000",per annum,"4bdrm Duplex in Admiralty, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 8,000,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate"
"₦ 15,000,000",per annum,3bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 2,000,000",per annum,"Studio Apartment in Orchid Road, Lekki for rent",Lekki
"₦ 8,000,000",per annum,"Furnished 4bdrm Maisonette in Chevron, Lekki for rent",Lekki
"₦ 8,500,000",per annum,4bdrm Duplex in Chevron for rent,"Lekki, Chevron"
"₦ 2,400,000",per annum,Studio Apartment in Osapa London for rent,"Lekki, Osapa london"
"₦ 15,000,000",per annum,"5bdrm Duplex in Ikate, Lekki for rent",Lekki
"₦ 5,000,000",per annum,4bdrm Duplex in Unity Estate for rent,"Ojodu, Unity Estate"
"₦ 4,000,000",per annum,"Mini Flat in Haris Drive, Lekki for rent",Lekki
"₦ 7,000,000",per annum,"3bdrm Apartment in Osapa London, Lekki for rent",Lekki
"₦ 25,000,000",per annum,3bdrm Apartment in Victoria Island for rent,Victoria Island
"₦ 25,000,000",per annum,Furnished 2bdrm Condo in Lekki Please1 for rent,"Lekki, Lekki Phase 1"
"₦ 25,000,000",per annum,Furnished 6bdrm Duplex in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 5,500,000",per annum,"Furnished 4bdrm Duplex in Greenville, Badore for rent","Ibeju, Badore"
"₦ 600,000,000",per annum,4bdrm Duplex in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 10,000,000",per annum,"Furnished 2bdrm Apartment in Westend Estate, Ikota for rent","Lekki, Ikota"
"₦ 4,000,000",per annum,"Mini Flat in Orchild, Ikota for rent","Lekki, Ikota"
"₦ 6,000,000",per annum,"3bdrm Apartment in Ikate, Chevron for rent","Lekki, Chevron"
"₦ 2,500,000",per annum,"Studio Apartment in Paradise3, Chevron for rent","Lekki, Chevron"
"₦ 2,500,000",per annum,Studio Apartment in Chevron Drive for rent,"Lekki, Chevron"
"₦ 3,500,000",per annum,Studio Apartment in Chevron for rent,"Lekki, Chevron"
"₦ 7,000,000",,"4bdrm Duplex in Harris Drive, Lekki for rent",Lekki
"₦ 4,000,000",per annum,"Mini Flat in Westend Estate, Chevron for rent","Lekki, Chevron"
"₦ 850,000",per annum,"1bdrm Apartment in Greenville Estate, Ajah for rent",Ajah
"₦ 10,000,000",per annum,"3bdrm Duplex in Admiralty, Lekki for rent",Lekki
"₦ 3,400,000",per annum,Studio Apartment in Chevron for rent,"Lekki, Chevron"
"₦ 15,000,000",per annum,"4bdrm Duplex in Freedom Way, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 2,200,000",per annum,"1bdrm Apartment in Chevy View, Chevron for rent","Lekki, Chevron"
"₦ 13,000,000",per annum,"3bdrm Duplex in Marwa, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 7,000,000",per annum,"3bdrm Apartment in Osapa London, Lekki for rent",Lekki
"₦ 8,000,000",per annum,"4bdrm Duplex in Bera Estate, Chevron for rent","Lekki, Chevron"
"₦ 25,000,000",per annum,"Furnished 2bdrm Apartment in Ikoyi, Lekki for rent",Lekki
"₦ 2,500,000",per annum,"Studio Apartment in Paradise3, Chevron for rent","Lekki, Chevron"
"₦ 55,000,000",per annum,"5bdrm Duplex in Admiralty, Lekki for rent",Lekki
"₦ 6,000,000",per annum,4bdrm Duplex in Ajah for rent,Ajah
"₦ 1,700,000",per annum,"Studio Apartment in Royal Pine, Chevron for rent","Lekki, Chevron"
"₦ 1,500,000",per annum,"3bdrm Apartment in Unity Estate, Ado / Ajah for rent","Ajah, Ado / Ajah"
"₦ 1,700,000",per annum,"Studio Apartment in Dpk Estate, Lekki for rent",Lekki
"₦ 3,000,000",per annum,"Studio Apartment in Dpk Estate, Ikota for rent","Lekki, Ikota"
"₦ 1,700,000",per annum,"Studio Apartment in Dpk Estate, Lekki for rent",Lekki
"₦ 17,000,000",per annum,Furnished 3bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 10,000,000",per annum,2bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 10,000,000",per annum,3bdrm Apartment in Chevron Toalgate for rent,"Lekki, Chevron"
"₦ 8,500,000",per annum,"4bdrm Duplex in Chevy View, Chevron for rent","Lekki, Chevron"
"₦ 35,000,000",per annum,3bdrm Apartment in Victoria Island for rent,Victoria Island
"₦ 5,000,000",per annum,"3bdrm Apartment in Chevron, Lekki for rent",Lekki
"₦ 2,300,000",per annum,Studio Apartment in Lekki for rent,Lekki
"₦ 4,000,000",per annum,"Mini Flat in Westend, Ikota for rent","Lekki, Ikota"
"₦ 8,000,000",per annum,"Furnished 1bdrm Apartment in Ologolo, Lekki for rent",Lekki
"₦ 25,000,000",per annum,"3bdrm Apartment in Vi, Victoria Island for rent",Victoria Island
"₦ 2,800,000",per annum,"Studio Apartment in Orchid Road, Ikota for rent","Lekki, Ikota"
"₦ 7,000,000",per annum,"4bdrm Duplex in Chevy View, Lekki for rent",Lekki
"₦ 8,000,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate"
"₦ 3,000,000",per annum,"1bdrm Apartment in Chevron, Lekki for rent",Lekki
"₦ 7,000,000",per annum,"4bdrm Duplex in Orchid, Chevron for rent","Lekki, Chevron"
"₦ 6,000,000",per annum,"4bdrm Duplex in Orchild Road, Chevron for rent","Lekki, Chevron"
"₦ 7,500,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate-Elegushi"
"₦ 18,000,000",per annum,"2bdrm Apartment in Periwinkle Estate, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 13,500,000",per annum,2bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 7,000,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate"
"₦ 10,000,000",per annum,3bdrm Villa in Chevron for rent,"Lekki, Chevron"
"₦ 15,000,000",per annum,"Furnished 5bdrm Duplex in Osapa London, Lekki for rent",Lekki
"₦ 2,800,000",per annum,"Studio Apartment in Paradise3, Chevron for rent","Lekki, Chevron"
"₦ 750,000",per annum,"1bdrm Apartment in Greenville, Badore for rent","Ibeju, Badore"
"₦ 2,500,000",per annum,"Studio Apartment in Paradise 3, Lekki for rent",Lekki
"₦ 12,000,000",,3bdrm Apartment in Lekki Phase1 for rent,"Lekki, Lekki Phase 1"
"₦ 9,000,000",per annum,"Furnished 4bdrm Duplex in Chevron, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"3bdrm Apartment in Chevron Extension, Lekki for rent",Lekki
"₦ 10,000,000",per annum,1bdrm Apartment in Ologolo for rent,"Lekki, Ologolo"
"₦ 9,000,000",per annum,"4bdrm Duplex in Megamound, Lekki for rent",Lekki
"₦ 10,000,000",per annum,"3bdrm Apartment in Ganzali, Chevron for rent","Lekki, Chevron"
"₦ 4,000,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate"
"₦ 120,000,000",,Club Space Comercial House for Rent,"Lekki, Lekki Phase 1"
"₦ 11,000,000",per annum,"Furnished 4bdrm Duplex in Orchid, Lekki for rent",Lekki
"₦ 13,000,000",per annum,"4bdrm Duplex in Ikate, Lekki for rent",Lekki
"₦ 1,500,000",per annum,"Studio Apartment in Lekki Conseevation, Chevron for rent","Lekki, Chevron"
"₦ 3,500,000",per annum,"Studio Apartment in Oral Estate, Chevron for rent","Lekki, Chevron"
"₦ 11,000,000",per annum,"4bdrm Duplex in Chevron, Ajah for rent",Ajah
"₦ 6,000,000",per annum,"3bdrm Apartment in Chevron, Lekki for rent",Lekki
"₦ 12,000,000",per annum,2bdrm Apartment in Ikate for rent,"Lekki, Ikate"
"₦ 3,700,000",per annum,Studio Apartment in Lekki for rent,Lekki
"₦ 10,000,000",per annum,3bdrm Apartment in Chevron for rent,"Lekki, Chevron"
"₦ 1,500,000",per annum,"Studio Apartment in Haris Drive, Chevron for rent","Lekki, Chevron"
"₦ 6,000,000",per annum,2bdrm Apartment in Ikate Lekki for rent,Lekki
"₦ 7,000,000",per annum,2bdrm Apartment in Ikate Lekki for rent,Lekki
"₦ 2,500,000",per annum,"Furnished Studio Apartment in Bera, Chevron for rent","Lekki, Chevron"
"₦ 8,000,000",per annum,"5bdrm Duplex in Chevron, Lekki for rent",Lekki
"₦ 1,500,000",per annum,"Studio Apartment in Paradise 3, Chevron for rent","Lekki, Chevron"
"₦ 3,000,000",per annum,Studio Apartment in Lekki Osapa London for rent,"Lekki, Osapa london"
"₦ 1,300,000",per annum,"1bdrm Apartment in Unity Estate, Ajah for rent",Ajah
"₦ 7,000,000",per annum,"3bdrm Apartment in Chevy View, Chevron for rent","Lekki, Chevron"
"₦ 25,000,000",per annum,3bdrm Apartment in Victoria Island for rent,Victoria Island
"₦ 8,000,000",per annum,5bdrm Duplex in Osapa London for rent,"Lekki, Osapa london"
"₦ 7,500,000",per annum,2bdrm Apartment in Ikate Lekki for rent,Lekki
"₦ 2,500,000",per annum,"Studio Apartment in Paradise3, Chevron for rent","Lekki, Chevron"
"₦ 15,000,000",per annum,"Furnished 2bdrm Apartment in Salem, Ikate for rent","Lekki, Ikate"
"₦ 1,600,000",per annum,"Studio Apartment in Westend, Ikota for rent","Lekki, Ikota"
"₦ 2,500,000",per annum,"Studio Apartment in Paradise3, Chevron for rent","Lekki, Chevron"
"₦ 5,000,000",per annum,"2bdrm Apartment in Orchid, Lekki for rent",Lekki
"₦ 14,000,000",per annum,2bdrm Apartment in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 250,000",,Z37 3D Face Smart Door Lock in Lagos,Lekki
"₦ 8,500,000",,Commercial Property for Rent,"Ajah, VGC / Ajah"
"₦ 2,200,000",per annum,3bdrm Apartment in Surulere for rent,Surulere
"₦ 17,000,000",per annum,5bdrm Duplex in Chevron Lekki for rent,"Lekki, Chevron"
"₦ 30,000,000",per annum,2bdrm Apartment in Osapa london for rent,"Lekki, Osapa london"
"₦ 15,000,000",,"Mini Flat in Ikeja, Unity Road for sale","Ikeja, Unity Road"
"₦ 8,000,000",,"Studio Apartment in Bajuliaye, Shomolu / Shomolu for sale","Shomolu, Shomolu / Shomolu"
"₦ 3,000,000",per annum,"3bdrm Townhouse / Terrace in Bale, Ikorodu for rent",Ikorodu
"₦ 7,000,000",per annum,"3bdrm Apartment in Off Hakeem Dickson, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 1,500,000",per month,"Furnished 2bdrm Block of Flats in Horizon Cyberville, Lekki Phase 1","Lekki, Lekki Phase 1"
"₦ 30,000,000",per annum,4bdrm Townhouse / Terrace in Old Ikoyi Estate for rent,Ikoyi
"₦ 1,500,000",per annum,"1bdrm Shared Apartment in Ikota, Lekki for rent",Lekki
"₦ 10,000,000",per annum,4bdrm Duplex in New Vgc Lekki for rent,"Ajah, VGC / Ajah"
"₦ 8,000,000",per annum,5bdrm Duplex in Lekki Palm City Ajah for rent,Ajah
"₦ 18,000,000",per annum,5bdrm Duplex in Ikate for rent,"Lekki, Ikate"
"₦ 200,000",per month,1bdrm Shared Apartment in Allen Avenue for rent,"Ikeja, Allen Avenue"
"₦ 1,250,000",per annum,Mini Flat in Surulere for rent,Surulere
"₦ 40,000,000",per annum,"4bdrm Duplex in Parkview Axis, Ikoyi for rent",Ikoyi
"₦ 25,000,000",per annum,3bdrm Block of Flats in Ikoyi for rent,Ikoyi
"₦ 1,650,000",per annum,2bdrm Apartment in Ago Palace for rent,"Isolo, Ago Palace"
"₦ 7,000,000",per annum,"4bdrm Duplex in Orchid Road, Chevron for rent","Lekki, Chevron"
"₦ 4,000,000",per annum,"3bdrm Apartment in Abraham Adesanya, Lekki Phase 2 for rent","Lekki, Lekki Phase 2"
"₦ 18,000,000",,"Mini Flat in Surulere, Ojuelegba for sale","Surulere, Ojuelegba"
"₦ 60,000,000",per annum,5bdrm Duplex in Lekki Phase 1 for rent,Lekki
"₦ 22,000,000",per annum,4bdrm House in Lekki Phase 1 for rent,"Lekki, Lekki Phase 1"
"₦ 10,000,000",per annum,Furnished 2bdrm Apartment in Ikate-Lekki Lagos for rent,"Lekki, Ikate"
"₦ 30,000,000",per annum,3bdrm Apartment in Osapa london for rent,"Lekki, Osapa london"
"₦ 550,000",per annum,Studio Apartment in Ago Palace for rent,"Isolo, Ago Palace"
"₦ 30,000,000",per annum,"Furnished 3bdrm Apartment in Parkview, Ikoyi for rent",Ikoyi
"₦ 60,000,000",per annum,"4bdrm Duplex in Banana Island, Ikoyi for rent",Ikoyi
"₦ 980,000",per annum,1bdrm Room & Parlour in Surulere for rent,Surulere
"₦ 30,000,000",per annum,"4bdrm Duplex in Banana Island, Ikoyi for rent",Ikoyi
"₦ 40,000,000",per annum,"3bdrm Apartment in Banana Island, Ikoyi for rent",Ikoyi
"₦ 2,000,000",per annum,"2bdrm Apartment in Abram Adesanya Sch 2, Lekki for rent",Lekki
"₦ 25,000,000",per annum,"5bdrm Duplex in Fhase1, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 20,000,000",per annum,5bdrm Duplex in Lekki Fhase1 for rent,Lekki
"₦ 680,000,000",,3bdrm Apartment in Ikoyi Estate for sale,Ikoyi
"₦ 20,000,000",per annum,"5bdrm Duplex in Durosinmi Etti, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 20,000,000",per annum,5bdrm Duplex in Lekki Fhase1 for rent,Lekki
"₦ 20,000,000",per annum,3bdrm Apartment in Ikoyi Estate for rent,Ikoyi
"₦ 40,000,000",,Mini Flat in Folagoro Yaba for sale,"Yaba, Fola Agoro"
"₦ 260,000,000",per annum,3bdrm Block of Flats in Ikoyi for rent,Ikoyi
"₦ 20,000,000",per annum,3bdrm Apartment in Victoria Island for rent,Victoria Island
"₦ 39,000,000",,Clean 520sqm Office Block in Ikeja for Rent,"Ikeja, Opebi"
"₦ 20,000,000",per annum,3bdrm Apartment in Ikoyi Ikoyi for rent,Ikoyi
"₦ 2,500,000",per annum,"1bdrm Shared Apartment in Ikota Villa, Lekki for rent",Lekki
"₦ 60,000,000",per annum,"Furnished 17bdrm Penthouse in Chief Kolish, Lekki Phase 1 for rent","Lekki, Lekki Phase 1"
"₦ 25,000,000",per annum,Furnished 3bdrm Duplex in Ikeja GRA for rent,"Ikeja, Ikeja GRA"
"₦ 14,000,000",per annum,"3bdrm Apartment in Oniru, Victoria Island for rent",Victoria Island
"₦ 3,500,000",per annum,2bdrm Apartment in Sangotedo for rent,"Ajah, Sangotedo"
